project_name,version,class_name,wmc,rfc,loc,max_cc,avg_cc,cbo,ca,ce,ic,cbm,lcom,lcom3,dit,noc,mfa,npm,dam,moa,cam,amc,bug
openj9,unknown,com.ibm.java.lang.management.internal.MemoryNotificationInfoUtil,2,10,96,4,4.0,8,4,1,0,3,1,1.0,0,0,0.0,1,1.0,1,0,48.0,2
openj9,unknown,com.ibm.java.lang.management.internal.LazyDelegatingNotifier,7,15,110,2,1.1428571428571428,8,0,0,0,10,21,1.0,0,0,0.0,5,1.0,1,0.2631578947368421,15.714285714285714,3
openj9,unknown,com.ibm.java.lang.management.internal.BufferPoolMXBeanImpl,6,11,122,2,1.1666666666666667,5,0,0,0,4,15,1.0,0,0,0.0,6,1.0,4,0,20.333333333333332,4
openj9,unknown,com.ibm.jvm.dtfjview.OutputChannelRedirector,5,9,80,1,1.0,4,0,0,0,5,10,1.0,0,0,0.0,5,1.0,1,1.0,16.0,3
openj9,unknown,com.ibm.jvm.dtfjview.JdmpviewInitException,1,1,59,1,1.0,0,0,0,1,0,0,0,1,0,0.0,1,1.0,0,0,59.0,3
openj9,unknown,com.ibm.jvm.dtfjview.JdmpviewContextManager,8,23,158,5,2.5,15,1,0,0,2,28,1.0,0,0,0.0,8,1.0,1,0.09090909090909091,19.75,3
openj9,unknown,com.ibm.jvm.dtfjview.DTFJView,4,20,101,5,2.75,16,0,0,0,3,6,1.0,0,0,0.0,2,1.0,1,0.2,25.25,3
openj9,unknown,com.ibm.jvm.dtfjview.CombinedContext,16,68,373,10,2.9375,52,1,0,1,9,120,1.0,1,0,0.0,11,1.0,5,0.15853658536585366,23.3125,3
openj9,unknown,com.ibm.jvm.dtfjview.Output,19,32,225,3,1.6842105263157894,13,0,0,1,7,171,1.0,1,0,0.0,19,0.42857142857142855,5,0.07692307692307693,11.842105263157896,3
openj9,unknown,com.ibm.jvm.dtfjview.JdmpviewPrintStream,1,1,81,1,1.0,0,0,0,1,0,0,0,1,0,0.0,1,1.0,1,0,81.0,3
openj9,unknown,com.ibm.jvm.dtfjview.Session,32,127,928,21,4.375,95,4,0,0,69,496,1.0,0,0,0.0,12,0.95,36,0.2648221343873518,29.0,3
openj9,unknown,com.ibm.jvm.dtfjview.FileOutputChannel,11,18,136,2,1.7272727272727273,7,1,0,0,9,55,1.0,0,0,0.0,10,1.0,2,0.38461538461538464,12.363636363636363,3
openj9,unknown,com.ibm.jvm.dtfjview.Version,3,7,62,1,1.0,4,1,0,0,2,3,1.0,0,0,0.0,3,1.0,1,0,20.666666666666668,3
openj9,unknown,com.ibm.jvm.dtfjview.ConsoleOutputChannel,9,13,76,2,1.2222222222222223,4,0,0,0,6,36,1.0,0,0,0.0,9,1.0,1,0.38461538461538464,8.444444444444445,3
openj9,unknown,com.ibm.jvm.dtfjview.tools.CommandException,0,0,51,0,0,0,8,0,1,0,0,0,1,0,1.0,0,1.0,0,0,0,3
openj9,unknown,com.ibm.jvm.dtfjview.tools.ParsedCommand,9,24,210,12,3.5555555555555554,15,0,0,0,5,36,1.0,0,0,0.0,6,1.0,2,0.21212121212121213,23.333333333333332,3
openj9,unknown,com.ibm.jvm.dtfjview.tools.ToolsRegistry,13,30,257,3,1.6923076923076923,17,8,1,0,12,50,0.6410256410256411,0,0,0.0,12,1.0,5,0.38613861386138615,19.76923076923077,3
openj9,unknown,com.ibm.jvm.dtfjview.tools.Tool,2,2,53,1,1.0,0,8,0,0,0,1,1.0,0,0,0.0,2,0,0,0,26.5,3
openj9,unknown,com.ibm.jvm.dtfjview.tools.ToolsRegistryOutputChannels,9,19,131,3,1.6666666666666667,10,1,0,1,7,36,1.0,1,0,0.0,8,1.0,4,0.17647058823529413,14.555555555555555,3
openj9,unknown,com.ibm.jvm.dtfjview.tools.impl.CmdFileTool,7,20,181,10,2.5714285714285716,13,0,4,1,2,21,1.0,1,0,0.2222222222222222,7,0.16666666666666666,6,0.2857142857142857,25.857142857142858,3
openj9,unknown,com.ibm.jvm.dtfjview.tools.impl.HistoryTool,9,23,191,10,2.5555555555555554,14,0,3,1,7,36,1.0,1,0,0.5,7,0.25,6,0.2857142857142857,21.22222222222222,3
openj9,unknown,com.ibm.jvm.dtfjview.tools.impl.CharsToTool,7,13,204,7,2.142857142857143,6,0,3,1,2,21,1.0,1,0,0.5882352941176471,6,1.0,4,0.36363636363636365,29.142857142857142,3
openj9,unknown,com.ibm.jvm.dtfjview.tools.impl.OutFileTool,8,24,200,6,2.25,16,0,3,1,3,28,1.0,1,0,0.5789473684210527,6,0.0,5,0.2,25.0,3
openj9,unknown,com.ibm.jvm.dtfjview.tools.impl.CharsFromTool,7,13,204,7,2.142857142857143,6,0,3,1,2,21,1.0,1,0,0.6111111111111112,6,1.0,4,0.36363636363636365,29.142857142857142,3
openj9,unknown,com.ibm.jvm.dtfjview.tools.impl.HelpTool,8,22,151,4,1.875,14,0,3,1,7,28,1.0,1,0,0.5789473684210527,6,0.0,5,0.47368421052631576,18.875,3
